"""content""","""publishtime""","""area""","""majorpollutant""","""forecastdate""","""aqi""","""minorpollutant""","""minorpollutantaqi"""
"今（1）日環境風場為西南風，竹苗以南位於迎風面，整體擴散條件佳；北部空品區位下風處，空氣品質普通。依10時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級。
依監測資料及氣象局1日10時氣象資料顯示：1日環境風場為西南風，竹苗以南位於迎風面，擴散條件佳；北部空品區位下風處，污染物稍易累積；馬祖、金門易有局部霧或低雲影響能見度。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
2日環境風場持續受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
3日環境風場仍受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
未來一週，6月1日至5日受西南風影響，竹苗以南位於迎風面，擴散條件佳；北部空品區位於下風處，污染物稍易累積。6日持續受西南風以及鋒面接近影響，全臺各地擴散條件仍佳，空氣品質多為良好。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2022-06-01 10:30",,,2022-06-01,30,,
"今（1）日環境風場為西南風，竹苗以南位於迎風面，整體擴散條件佳；北部空品區位下風處，空氣品質普通。依10時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級。
依監測資料及氣象局1日10時氣象資料顯示：1日環境風場為西南風，竹苗以南位於迎風面，擴散條件佳；北部空品區位下風處，污染物稍易累積；馬祖、金門易有局部霧或低雲影響能見度。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
2日環境風場持續受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
3日環境風場仍受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
未來一週，6月1日至5日受西南風影響，竹苗以南位於迎風面，擴散條件佳；北部空品區位於下風處，污染物稍易累積。6日持續受西南風以及鋒面接近影響，全臺各地擴散條件仍佳，空氣品質多為良好。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2022-06-01 10:30",,二氧化氮,2022-06-01,55,,
"今（1）日環境風場為西南風，竹苗以南位於迎風面，整體擴散條件佳；北部空品區位下風處，空氣品質普通。依10時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級。
依監測資料及氣象局1日10時氣象資料顯示：1日環境風場為西南風，竹苗以南位於迎風面，擴散條件佳；北部空品區位下風處，污染物稍易累積；馬祖、金門易有局部霧或低雲影響能見度。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
2日環境風場持續受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
3日環境風場仍受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
未來一週，6月1日至5日受西南風影響，竹苗以南位於迎風面，擴散條件佳；北部空品區位於下風處，污染物稍易累積。6日持續受西南風以及鋒面接近影響，全臺各地擴散條件仍佳，空氣品質多為良好。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2022-06-01 10:30",,,2022-06-01,35,,
"今（1）日環境風場為西南風，竹苗以南位於迎風面，整體擴散條件佳；北部空品區位下風處，空氣品質普通。依10時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級。
依監測資料及氣象局1日10時氣象資料顯示：1日環境風場為西南風，竹苗以南位於迎風面，擴散條件佳；北部空品區位下風處，污染物稍易累積；馬祖、金門易有局部霧或低雲影響能見度。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
2日環境風場持續受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
3日環境風場仍受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
未來一週，6月1日至5日受西南風影響，竹苗以南位於迎風面，擴散條件佳；北部空品區位於下風處，污染物稍易累積。6日持續受西南風以及鋒面接近影響，全臺各地擴散條件仍佳，空氣品質多為良好。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2022-06-01 10:30",,,2022-06-03,40,,
"今（1）日環境風場為西南風，竹苗以南位於迎風面，整體擴散條件佳；北部空品區位下風處，空氣品質普通。依10時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級。
依監測資料及氣象局1日10時氣象資料顯示：1日環境風場為西南風，竹苗以南位於迎風面，擴散條件佳；北部空品區位下風處，污染物稍易累積；馬祖、金門易有局部霧或低雲影響能見度。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
2日環境風場持續受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
3日環境風場仍受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
未來一週，6月1日至5日受西南風影響，竹苗以南位於迎風面，擴散條件佳；北部空品區位於下風處，污染物稍易累積。6日持續受西南風以及鋒面接近影響，全臺各地擴散條件仍佳，空氣品質多為良好。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2022-06-01 10:30",,,2022-06-02,35,,
"今（1）日環境風場為西南風，竹苗以南位於迎風面，整體擴散條件佳；北部空品區位下風處，空氣品質普通。依10時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級。
依監測資料及氣象局1日10時氣象資料顯示：1日環境風場為西南風，竹苗以南位於迎風面，擴散條件佳；北部空品區位下風處，污染物稍易累積；馬祖、金門易有局部霧或低雲影響能見度。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
2日環境風場持續受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
3日環境風場仍受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
未來一週，6月1日至5日受西南風影響，竹苗以南位於迎風面，擴散條件佳；北部空品區位於下風處，污染物稍易累積。6日持續受西南風以及鋒面接近影響，全臺各地擴散條件仍佳，空氣品質多為良好。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2022-06-01 10:30",,,2022-06-03,50,,
"今（1）日環境風場為西南風，竹苗以南位於迎風面，整體擴散條件佳；北部空品區位下風處，空氣品質普通。依10時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級。
依監測資料及氣象局1日10時氣象資料顯示：1日環境風場為西南風，竹苗以南位於迎風面，擴散條件佳；北部空品區位下風處，污染物稍易累積；馬祖、金門易有局部霧或低雲影響能見度。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
2日環境風場持續受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
3日環境風場仍受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
未來一週，6月1日至5日受西南風影響，竹苗以南位於迎風面，擴散條件佳；北部空品區位於下風處，污染物稍易累積。6日持續受西南風以及鋒面接近影響，全臺各地擴散條件仍佳，空氣品質多為良好。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2022-06-01 10:30",,,2022-06-04,50,,
"今（1）日環境風場為西南風，竹苗以南位於迎風面，整體擴散條件佳；北部空品區位下風處，空氣品質普通。依10時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級。
依監測資料及氣象局1日10時氣象資料顯示：1日環境風場為西南風，竹苗以南位於迎風面，擴散條件佳；北部空品區位下風處，污染物稍易累積；馬祖、金門易有局部霧或低雲影響能見度。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
2日環境風場持續受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
3日環境風場仍受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
未來一週，6月1日至5日受西南風影響，竹苗以南位於迎風面，擴散條件佳；北部空品區位於下風處，污染物稍易累積。6日持續受西南風以及鋒面接近影響，全臺各地擴散條件仍佳，空氣品質多為良好。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2022-06-01 10:30",,,2022-06-03,40,,
"今（1）日環境風場為西南風，竹苗以南位於迎風面，整體擴散條件佳；北部空品區位下風處，空氣品質普通。依10時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級。
依監測資料及氣象局1日10時氣象資料顯示：1日環境風場為西南風，竹苗以南位於迎風面，擴散條件佳；北部空品區位下風處，污染物稍易累積；馬祖、金門易有局部霧或低雲影響能見度。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
2日環境風場持續受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
3日環境風場仍受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
未來一週，6月1日至5日受西南風影響，竹苗以南位於迎風面，擴散條件佳；北部空品區位於下風處，污染物稍易累積。6日持續受西南風以及鋒面接近影響，全臺各地擴散條件仍佳，空氣品質多為良好。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2022-06-01 10:30",,,2022-06-01,40,,
"今（1）日環境風場為西南風，竹苗以南位於迎風面，整體擴散條件佳；北部空品區位下風處，空氣品質普通。依10時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級。
依監測資料及氣象局1日10時氣象資料顯示：1日環境風場為西南風，竹苗以南位於迎風面，擴散條件佳；北部空品區位下風處，污染物稍易累積；馬祖、金門易有局部霧或低雲影響能見度。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
2日環境風場持續受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
3日環境風場仍受西南風影響，竹苗以南位於迎風面，擴散條件仍佳；北部空品區位於下風處，污染物稍易累積。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
未來一週，6月1日至5日受西南風影響，竹苗以南位於迎風面，擴散條件佳；北部空品區位於下風處，污染物稍易累積。6日持續受西南風以及鋒面接近影響，全臺各地擴散條件仍佳，空氣品質多為良好。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2022-06-01 10:30",,二氧化氮,2022-06-04,55,,
